cnj_number;description;priority;translation;stage
277;Processo Suspenso ou Sobrestado por Convenção das Partes para Cumprimento Voluntário da obrigação;5;O processo está suspenso.;9
279;Processo Suspenso ou Sobrestado por Incidente de Insanidade Mental;5;O processo está suspenso.;9
332;Concedida a Antecipação de tutela;1;O pedido de urgência foi dado.;9
339;Concedida a Medida Liminar;1;O pedido de urgência foi dado.;9
348;Revogada a Medida Liminar;1;O juiz voltou atrás quanto ao pedido de urgência.;9
378;Decisão ou Despacho Homologação;4;O acordo foi aceito pelo juiz.;4
385;Julgamento com Resolução de Mérito;1;O processo foi decidido.;4
454;Indeferida a petição inicial;1;O processo terminou sem o juiz precisar decidir o caso.;4
455;Homologada renúncia pelo autor;1;O autor da ação desistiu.;4
456;Extinto o processo sem resolução do mérito por;1;O processo terminou sem o juiz precisar decidir o caso.;4
457;Extinto o processo por negligência das partes;1;O processo terminou sem o juiz precisar decidir o caso.;4
458;Extinto o processo por abandono da causa pelo autor;1;O processo terminou sem o juiz precisar decidir o caso.;4
459;Extinto o processo por ausência de pressupostos processuais;1;O processo terminou sem o juiz precisar decidir o caso.;4
460;Extinto o processo por Perempção, litispendência ou coisa julgada;1;O processo terminou sem o juiz precisar decidir o caso.;4
461;Extinto o processo por ausência das condições da ação;1;O processo terminou sem o juiz precisar decidir o caso.;4
462;Extinto o processo por convenção de arbitragem;1;O processo terminou sem o juiz precisar decidir o caso.;4
463;Extinto o processo por desistência;1;O processo terminou sem o juiz precisar decidir o caso.;4
464;Extinto o processo por ser a ação intransmissível;1;O processo terminou sem o juiz precisar decidir o caso.;4
466;Homologada a Transação;1;O acordo proposto pelas partes foi aceito pelo juiz.;4
471;Declarada decadência ou prescrição;1;O juiz não deu o pedido porque a parte demorou para entrar na justiça.;4
792;Não Concedida a Medida Liminar;1;O pedido de urgência foi negado.;1
848;Transitado em Julgado em #{data};5;Não cabem mais recursos.;4
861;Processo Arquivado;5;Processo encerrado.;4
888;Decisão ou Despacho Concessão em parte;1;O pedido de urgência foi dado em parte.;9
892;Concedida em parte a Medida Liminar;1;O pedido de urgência foi dado em parte.;9
898;Processo Suspenso ou Sobrestado por Por decisão judicial;5;O processo está suspenso.;4
928;Republicado #{ato_publicado} em #{data}.;5;Um documento foi republicado. É possível que algum problema tenha acontecido com o anterior. Se for a sentença, é a decisão que estava sendo esperada!;9
960;Processo Suspenso ou Sobrestado por Conflito de Competência;5;O processo está suspenso.;9
968;Decisão ou Despacho Não-Concessão;1;O pedido de urgência foi negado.;9
970;Audiência #{tipo_de_audiencia} #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.;3;Foi realizada audiência em {data}.;9
11009;Proferido despacho;5;O juiz deu andamento ao processo.;9
11010;Proferido despacho de mero expediente;1;O juiz deu andamento ao processo.;9
11012;Processo Suspenso ou Sobrestado por Conflito de Competência;5;O processo está suspenso.;9
11013;Processo Suspenso por Convenção das Partes;5;O processo está suspenso.;9
